Cx,Cy
173,-204
175,-204
175,-210
175,-213
176,-216
177,-218
177,-220
178,-223
180,-224
181,-224
182,-227
183,-228
185,-230
186,-231
187,-231
190,-232
190,-232
191,-233
193,-232
194,-232
196,-233
196,-233
195,-233
195,-233
197,-234
197,-236
198,-237
199,-239
198,-240
199,-241
200,-243
200,-245
201,-246
199,-245
201,-247
199,-248
199,-246
198,-246
198,-244
198,-247
197,-247
197,-247
197,-247
197,-248
197,-249
197,-248
196,-248
197,-249
196,-249
196,-250
197,-250
196,-251
197,-251
197,-250
197,-252
198,-252
197,-251
198,-251
198,-251
200,-251
199,-251
200,-252
202,-251
202,-251
203,-251
203,-250
