Cx,Cy
-40,-203
-24,-209
-22,-210
-21,-211
-19,-212
-18,-214
-16,-215
-14,-216
-16,-217
-15,-219
-13,-221
-11,-222
-10,-223
-9,-225
-9,-224
-7,-225
-6,-227
-5,-226
-5,-227
-3,-227
-4,-228
-1,-228
-2,-228
-2,-228
-1,-228
-2,-228
-2,-228
-3,-228
-2,-227
-3,-226
-4,-227
-2,-227
-2,-226
-2,-228
-1,-228
0,-229
0,-229
2,-230
3,-230
5,-228
8,-228
11,-228
13,-225
16,-224
16,-222
15,-222
10,-222
6,-219
1,-218
0,-216
-2,-213
-3,-211
-5,-209
-3,-206
0,-206
6,-208
11,-209
21,-210
29,-213
38,-216
47,-221
55,-228
61,-232
66,-238
71,-243
76,-249
79,-254
81,-256
83,-259
86,-260
89,-260
91,-260
94,-258
94,-256
94,-255
97,-253
95,-254
94,-253
94,-253
95,-255
92,-254
93,-254
93,-253
94,-252
94,-250
95,-251
94,-248
95,-246
93,-244
92,-242
91,-241
90,-240
89,-239
88,-240
87,-239
86,-240
86,-241
87,-241
87,-241
87,-241
88,-241
89,-241
89,-241
90,-240
89,-242
89,-243
88,-244
87,-245
86,-247
87,-248
87,-249
88,-250
90,-251
90,-250
91,-251
93,-252
93,-253
92,-253
93,-253
94,-255
96,-256
95,-257
97,-257
97,-255
98,-256
98,-256
97,-255
95,-255
96,-254
94,-254
93,-254
93,-255
93,-255
92,-254
93,-253
92,-254
91,-253
92,-251
91,-251
92,-250
93,-249
94,-250
95,-249
95,-249
95,-251
95,-252
97,-253
96,-253
98,-254
98,-255
98,-256
99,-256
100,-257
100,-257
103,-258
103,-258
102,-260
104,-262
104,-259
104,-261
104,-261
106,-260
106,-261
106,-258
107,-258
107,-257
107,-258
108,-259
108,-258
108,-257
108,-258
110,-258
111,-257
111,-258
113,-258
114,-258
116,-259
116,-258
117,-259
118,-258
121,-260
122,-260
120,-260
117,-262
115,-261
115,-261
112,-260
110,-258
107,-256
104,-254
101,-252
97,-251
94,-251
93,-252
92,-255
92,-260
92,-265
91,-270
88,-274
87,-278
89,-279
87,-279
89,-279
92,-276
97,-274
104,-270
108,-267
111,-266
113,-265
113,-262
114,-262
115,-262
116,-265
115,-265
117,-268
120,-269
121,-272
122,-273
124,-275
128,-276
131,-276
135,-277
139,-277
143,-277
148,-277
152,-275
155,-274
160,-271
164,-268
169,-264
173,-262
179,-261
184,-257
188,-253
192,-251
194,-248
198,-245
199,-244
200,-243
199,-244
198,-244
198,-247
195,-248
193,-249
188,-250
186,-253
184,-253
181,-255
178,-255
177,-254
173,-256
169,-256
168,-256
165,-257
163,-258
161,-258
159,-260
158,-261
156,-260
155,-260
154,-260
153,-259
154,-259
155,-258
153,-257
154,-256
155,-256
154,-255
151,-257
149,-257
147,-260
145,-261
143,-260
142,-260
143,-259
143,-258
146,-255
147,-253
147,-249
151,-245
151,-241
155,-238
159,-235
160,-234
162,-232
163,-232
164,-231
164,-234
163,-233
163,-235
164,-236
166,-236
168,-237
169,-238
168,-239
170,-240
169,-241
168,-244
169,-243
168,-246
168,-247
166,-247
166,-248
166,-247
168,-245
169,-245
171,-243
173,-240
174,-236
174,-233
177,-230
178,-228
179,-224
180,-222
182,-220
182,-218
184,-217
185,-215
185,-215
185,-214
185,-214
185,-213
185,-214
185,-213
184,-213
184,-214
184,-213
183,-214
184,-215
184,-214
184,-216
184,-218
183,-221
182,-223
180,-226
179,-230
177,-235
174,-239
172,-244
168,-251
165,-256
161,-262
156,-268
151,-274
148,-278
143,-282
138,-287
134,-289
129,-291
124,-290
118,-290
112,-289
104,-288
96,-287
88,-285
79,-284
72,-283
63,-282
55,-282
48,-281
39,-282
31,-282
23,-282
15,-281
9,-281
1,-280
-8,-278
-16,-278
-24,-277
-34,-277
-45,-276
-57,-274
-70,-273
-78,-272
-91,-272
-100,-270
-112,-267
-123,-262
-134,-257
-146,-252
-155,-242
-162,-233
-171,-223
-180,-210
-184,-198
-189,-182
-195,-166
-197,-150
-200,-134
-202,-117
-202,-102
-203,-84
-204,-69
-202,-54
-201,-41
-199,-29
-196,-17
-191,-8
-186,-1
-180,7
-175,15
-167,21
-160,29
-152,35
-145,43
-137,52
-128,60
-118,67
-109,74
-100,82
-89,91
-78,97
-65,105
-50,112
-38,120
-23,127
-9,134
7,139
23,144
41,150
57,153
75,156
91,158
107,159
123,157
137,155
152,151
166,148
179,142
191,138
203,132
216,128
226,121
236,114
247,107
257,99
266,88
275,79
282,69
290,58
297,45
302,31
308,18
311,2
314,-11
320,-27
321,-40
323,-55
322,-66
323,-77
322,-89
321,-100
321,-109
318,-118
315,-124
315,-131
311,-134
309,-137
306,-140
303,-140
301,-142
300,-143
297,-142
298,-145
300,-146
302,-149
305,-152
309,-155
312,-158
315,-162
316,-167
318,-172
320,-177
319,-180
320,-183
319,-187
317,-191
318,-193
318,-195
317,-198
316,-199
315,-202
311,-203
308,-204
305,-206
303,-206
301,-207
297,-208
293,-208
290,-206
290,-208
286,-207
283,-206
278,-204
273,-202
267,-199
260,-198
253,-198
248,-196
243,-193
238,-194
236,-194
233,-193
234,-193
233,-193
233,-191
231,-188
231,-183
228,-179
224,-172
220,-167
217,-162
217,-157
214,-155
215,-150
213,-150
212,-150
211,-150
209,-150
205,-148
201,-148
197,-149
193,-148
192,-149
189,-149
188,-151
189,-154
187,-158
188,-161
188,-164
190,-170
190,-174
190,-178
189,-181
187,-185
185,-187
183,-190
182,-192
181,-193
178,-194
179,-195
180,-195
181,-196
184,-195
187,-196
190,-197
192,-197
193,-195
194,-195
194,-194
195,-191
194,-189
192,-187
191,-184
191,-182
190,-179
191,-177
191,-178
192,-176
191,-176
191,-177
192,-178
193,-179
191,-179
190,-180
190,-182
188,-182
186,-182
186,-183
184,-184
184,-186
185,-188
182,-189
184,-193
185,-193
185,-197
185,-199
186,-201
186,-202
185,-203
185,-204
184,-205
182,-207
181,-207
180,-206
180,-208
179,-208
179,-209
180,-209
182,-210
183,-210
184,-210
184,-210
184,-210
184,-210
182,-209
182,-208
181,-207
178,-207
179,-207
179,-205
181,-206
183,-205
187,-205
190,-205
194,-206
196,-206
199,-205
200,-204
198,-203
199,-203
198,-201
196,-199
195,-197
195,-195
195,-193
196,-192
194,-191
195,-189
195,-190
196,-190
196,-190
195,-189
195,-189
194,-189
195,-189
193,-190
194,-191
196,-189
198,-190
202,-190
209,-191
210,-190
215,-189
216,-187
220,-187
220,-185
221,-183
222,-181
221,-180
221,-178
222,-173
221,-173
220,-170
219,-168
220,-164
219,-163
218,-160
216,-158
215,-156
217,-154
217,-153
218,-152
217,-149
217,-147
217,-145
216,-145
216,-145
215,-144
216,-143
216,-143
218,-143
217,-143
219,-142
221,-141
221,-141
222,-140
222,-139
222,-137
222,-136
221,-134
220,-133
218,-131
217,-129
217,-126
217,-123
217,-122
218,-117
218,-113
220,-109
221,-105
223,-100
224,-95
224,-88
222,-84
223,-78
222,-73
220,-69
218,-66
217,-61
216,-56
215,-52
213,-48
213,-45
212,-40
209,-36
209,-32
207,-28
205,-25
204,-21
203,-18
201,-16
200,-13
198,-12
197,-10
195,-8
195,-8
194,-6
193,-5
193,-4
192,-1
193,1
192,2
191,4
192,7
192,6
192,8
192,10
193,13
193,12
191,13
193,16
192,15
188,17
188,18
185,19
182,21
180,21
177,24
173,27
169,30
167,31
162,34
160,37
156,38
154,40
151,42
149,44
146,46
143,47
141,49
139,49
136,50
133,50
131,51
126,51
126,52
123,52
119,53
118,53
114,54
112,56
110,56
109,57
107,56
104,57
104,57
102,58
101,58
101,58
101,59
100,60
101,59
101,61
100,62
100,62
100,63
100,62
99,64
98,63
98,65
98,66
98,66
97,67
96,68
94,71
92,73
93,75
90,77
90,78
89,82
89,85
89,87
87,90
87,91
87,94
85,94
83,95
81,96
78,96
76,95
73,94
72,95
68,92
65,92
63,91
61,90
57,90
54,89
50,88
48,88
45,87
41,86
37,84
34,83
29,81
26,81
24,78
21,78
17,77
14,77
12,75
11,73
7,70
5,69
2,69
-1,68
-2,68
-6,65
-10,65
-12,66
-15,65
-17,66
-19,64
-22,63
-22,64
-24,63
-25,63
-26,63
-28,62
-30,63
-31,62
-32,61
-34,59
-36,58
-38,57
-41,57
-42,55
-44,55
-47,52
-49,52
-52,52
-54,51
-55,50
-56,49
-57,49
-57,48
-58,48
-59,46
-60,45
-60,44
-61,44
-62,42
-64,40
-64,39
-66,39
-69,37
-71,37
-74,34
-76,33
-78,31
-82,30
-84,29
-85,26
-87,26
-89,23
-91,23
-91,20
-94,16
-95,14
-96,12
-98,10
-99,7
-102,4
-103,3
-105,0
-107,-1
-109,-4
-110,-7
-111,-7
-113,-8
-114,-10
-115,-14
-117,-15
-116,-19
-118,-22
-118,-27
-116,-30
-116,-35
-118,-40
-118,-44
-118,-50
-118,-55
-119,-59
-119,-61
-119,-65
-118,-69
-117,-72
-117,-75
-116,-80
-116,-82
-114,-85
-116,-89
-116,-92
-116,-95
-115,-99
-116,-104
-115,-108
-114,-112
-112,-116
-112,-121
-113,-125
-110,-129
-109,-133
-109,-136
-109,-138
-111,-141
-111,-141
-112,-143
-111,-144
-112,-146
-111,-147
-110,-147
-110,-148
-108,-147
-108,-148
-107,-149
-105,-149
-105,-152
-103,-152
-103,-153
-102,-152
-102,-153
-99,-153
-99,-152
-96,-153
-95,-152
-93,-151
-91,-149
-90,-149
-88,-149
-88,-148
-86,-147
-83,-147
-82,-147
-80,-148
-78,-148
-78,-148
-76,-148
-75,-148
-74,-148
-73,-149
-71,-149
-69,-150
-66,-150
-63,-150
-62,-151
-60,-152
-58,-152
-56,-152
-53,-152
-52,-152
-48,-151
-45,-151
-42,-150
-41,-153
-39,-152
-38,-153
-34,-153
-33,-153
-32,-154
-32,-155
-31,-155
-29,-156
-27,-158
-27,-158
-25,-158
-25,-158
-24,-158
-23,-160
-22,-159
-21,-161
-20,-161
-18,-161
-15,-161
-13,-160
-14,-161
-13,-161
-11,-162
-10,-161
-9,-161
-8,-161
-9,-162
-7,-163
-7,-165
-6,-167
-5,-169
-4,-172
-4,-173
-3,-175
0,-177
-1,-178
0,-178
2,-178
4,-177
6,-178
7,-177
8,-176
11,-177
12,-177
14,-178
16,-179
18,-177
19,-180
19,-180
23,-180
24,-181
26,-181
29,-181
29,-180
33,-181
32,-182
35,-181
38,-181
39,-181
41,-183
43,-186
45,-186
48,-187
51,-188
53,-189
55,-190
57,-193
61,-192
62,-193
63,-194
64,-194
65,-195
66,-193
65,-194
66,-193
65,-194
64,-193
64,-192
63,-190
61,-190
61,-190
59,-188
59,-185
58,-184
59,-185
59,-185
61,-184
61,-184
64,-184
66,-185
66,-188
67,-189
68,-191
68,-193
69,-194
70,-197
69,-198
71,-200
72,-204
73,-206
73,-208
73,-210
75,-214
77,-215
79,-217
79,-221
82,-223
83,-225
85,-228
88,-230
91,-232
93,-233
93,-235
95,-235
96,-236
97,-235
99,-236
101,-234
102,-232
104,-233
106,-233
108,-234
109,-232
111,-233
114,-232
116,-234
116,-232
118,-232
121,-230
121,-231
122,-232
124,-232
123,-232
125,-233
126,-234
127,-235
128,-236
128,-236
129,-238
130,-239
131,-240
132,-241
133,-241
135,-240
135,-238
137,-239
139,-238
139,-236
141,-236
142,-235
142,-234
143,-235
144,-233
143,-232
143,-233
142,-232
141,-231
141,-230
139,-230
138,-230
137,-229
135,-230
135,-230
133,-230
134,-231
134,-233
133,-232
132,-235
132,-236
131,-236
131,-236
130,-236
129,-236
128,-234
128,-233
128,-231
128,-229
130,-229
130,-227
132,-228
134,-227
133,-227
134,-225
136,-225
136,-226
140,-223
138,-223
139,-223
140,-223
141,-223
141,-223
142,-223
142,-221
141,-219
141,-220
142,-219
143,-220
143,-219
143,-220
142,-220
143,-221
143,-221
144,-221
144,-221
145,-221
145,-221
143,-222
145,-220
145,-220
146,-220
146,-221
145,-220
145,-222
147,-222
147,-222
148,-223
148,-223
149,-223
150,-222
152,-222
152,-222
152,-220
153,-221
154,-219
153,-218
154,-217
154,-216
154,-215
154,-214
153,-214
153,-213
153,-213
152,-213
151,-212
152,-213
152,-215
151,-213
149,-213
149,-215
149,-216
149,-217
148,-218
150,-217
149,-218
153,-217
153,-217
154,-217
155,-217
156,-217
158,-219
157,-219
157,-220
156,-221
156,-221
155,-221
154,-221
154,-220
153,-219
152,-219
150,-221
148,-222
146,-223
145,-223
144,-225
145,-226
146,-227
145,-228
146,-227
145,-228
146,-226
150,-227
150,-226
150,-225
150,-223
153,-223
153,-223
155,-221
155,-220
156,-219
158,-220
160,-219
159,-218
160,-217
161,-217
162,-216
164,-217
163,-215
165,-214
166,-212
167,-213
168,-212
170,-211
170,-210
171,-209
171,-209
172,-208
174,-208
175,-206
175,-206
175,-207
176,-207
176,-208
176,-209
175,-212
173,-214
174,-218
172,-220
169,-224
168,-227
166,-230
164,-233
160,-237
160,-240
156,-243
154,-247
150,-250
149,-254
148,-256
146,-260
143,-262
140,-265
135,-267
134,-271
130,-271
128,-274
123,-276
119,-278
113,-282
108,-282
102,-285
96,-289
90,-292
82,-294
76,-296
70,-299
64,-300
57,-303
52,-304
45,-304
39,-307
33,-307
26,-307
20,-307
13,-308
7,-308
0,-307
-8,-306
-16,-303
-25,-301
-33,-299
-40,-296
-50,-292
-57,-288
-65,-285
-73,-281
-81,-275
-89,-272
-97,-266
-104,-261
-112,-257
-120,-254
-130,-248
-136,-244
-144,-239
-152,-235
-159,-230
-168,-225
-175,-218
-182,-212
-190,-206
-198,-198
-205,-188
-214,-178
-222,-167
-228,-158
-234,-144
-240,-131
-244,-118
-249,-104
-251,-88
-252,-72
-254,-55
-253,-39
-250,-24
-248,-8
-244,9
-239,23
-233,36
-227,50
-219,62
-212,73
-205,83
-198,93
-191,101
-184,110
-178,118
-170,125
-164,132
-156,137
-149,144
-142,149
-134,154
-126,159
-118,162
-108,165
-101,168
-93,170
-85,170
-77,171
-69,174
-61,175
-51,176
-45,177
-35,179
-30,179
-21,179
-14,180
-9,180
-3,179
5,179
9,178
16,176
20,173
23,173
28,172
32,171
39,168
45,165
52,163
58,161
67,157
74,154
80,150
90,146
97,142
105,137
110,132
115,128
120,123
124,116
128,113
133,107
136,102
140,97
144,92
148,87
152,83
156,78
160,73
163,70
168,66
172,60
175,54
178,50
181,46
184,39
188,33
190,29
194,23
197,18
200,15
203,9
205,8
207,4
211,0
214,-5
216,-10
218,-14
221,-17
224,-23
228,-27
232,-32
234,-34
238,-36
242,-39
245,-42
247,-45
248,-48
248,-50
249,-52
249,-55
247,-58
248,-58
247,-61
247,-62
248,-66
249,-67
250,-69
252,-73
254,-77
254,-81
253,-87
254,-91
252,-95
252,-102
253,-109
250,-116
249,-121
249,-129
247,-138
245,-144
243,-152
243,-160
245,-166
246,-174
246,-180
245,-186
243,-189
239,-191
234,-190
228,-187
223,-182
218,-174
211,-163
207,-156
202,-147
198,-141
195,-134
195,-131
196,-130
197,-133
200,-135
203,-143
203,-150
205,-158
201,-165
200,-173
195,-179
193,-183
187,-185
183,-187
182,-189
181,-189
181,-190
182,-193
183,-195
184,-198
186,-202
189,-208
193,-211
195,-214
197,-214
199,-215
197,-212
195,-207
193,-203
191,-197
190,-191
190,-183
191,-179
192,-176
194,-173
195,-171
193,-171
193,-174
191,-176
189,-178
189,-179
188,-181
188,-184
